season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,total_result,result,cover_result,team_favored_id_int,spread_category,winner,loser,cover_id
2017,15,5,4:30 PM,0,0,DET,20,10,CHI,DET,-5,43.5,Ford Field,"Detroit, Michigan",0,72,0,1,10,30,1,0,1,1,11,Medium Spread,DET,CHI,DET
2017,15,5,8:30 PM,1,0,KC,30,13,LAC,LAC,-1,47,Arrowhead Stadium,"Kansas City, Missouri",0,53,9,0,17,43,0,0,1,1,17,Low Spread,KC,LAC,KC
2017,15,6,1:00 PM,0,0,BUF,24,16,MIA,BUF,-3.5,39.5,New Era Field,"Orchard Park, New York",0,22,8,0,8,40,1,1,1,1,4,Medium Spread,BUF,MIA,BUF
2017,15,6,1:00 PM,0,0,CAR,31,24,GB,CAR,-3,46.5,Bank of America Stadium,"Charlotte, North Carolina",0,51,5,0,7,55,1,1,1,1,5,Low Spread,CAR,GB,CAR
2017,15,6,1:00 PM,0,0,CLE,10,27,BAL,BAL,-6.5,42,FirstEnergy Stadium,"Cleveland, Ohio",0,36,0,0,-17,37,0,0,0,0,3,Medium Spread,BAL,CLE,BAL
2017,15,6,1:00 PM,0,0,JAX,45,7,HOU,JAX,-10.5,39,EverBank Field,"Jacksonville, Florida",0,72,5,0,38,52,1,1,1,1,15,High Spread,JAX,HOU,JAX
2017,15,6,1:00 PM,0,0,MIN,34,7,CIN,MIN,-12.5,42.5,U.S. Bank Stadium,"Minneapolis, Minnesota",0,72,0,1,27,41,1,0,1,1,21,High Spread,MIN,CIN,MIN
2017,15,6,1:00 PM,0,0,NO,31,19,NYJ,NO,-16.5,47,Caesars Superdome,"New Orleans, Louisiana",0,72,0,1,12,50,1,1,1,0,23,High Spread,NO,NYJ,NYJ
2017,15,6,1:00 PM,0,0,NYG,29,34,PHI,PHI,-7.5,40,MetLife Stadium,"East Rutherford, New Jersey",0,35,0,0,-5,63,0,1,0,1,26,Medium Spread,PHI,NYG,NYG
2017,15,6,8:30 PM,1,0,LVR,17,20,DAL,DAL,-3,46,Oakland Coliseum,"Oakland, California",0,57,4,0,-3,37,0,0,0,2,9,Low Spread,DAL,LVR,Push
2017,15,6,4:30 PM,0,0,PIT,24,27,NE,NE,-2.5,52.5,Acrisure Stadium,"Pittsburgh, Pennsylvania",0,42,4,0,-3,51,0,0,0,0,22,Low Spread,NE,PIT,NE
2017,15,6,4:30 PM,0,0,SF,25,23,TEN,SF,-2.5,44.5,Levi's Stadium,"Santa Clara, California",0,65,17,0,2,48,1,1,1,0,30,Low Spread,SF,TEN,TEN
2017,15,6,4:00 PM,0,0,SEA,7,42,LAR,LAR,-1,47.5,Lumen Field,"Seattle, Washington",0,47,15,0,-35,49,0,1,0,0,18,Low Spread,LAR,SEA,LAR
2017,15,6,1:00 PM,0,0,WAS,20,15,ARI,WAS,-4,40,FedEx Field,"Landover, Maryland",0,50,1,0,5,35,1,0,1,1,33,Medium Spread,WAS,ARI,WAS
2017,15,0,8:30 PM,1,0,TB,21,24,ATL,ATL,-7,49.5,Raymond James Stadium,"Tampa, Florida",0,71,2,0,-3,45,0,0,0,1,2,Medium Spread,ATL,TB,TB
2017,16,5,4:30 PM,0,0,BAL,23,16,IND,BAL,-13.5,41,M&T Bank Stadium,"Baltimore, Maryland",0,63,14,0,7,39,1,0,1,0,3,High Spread,BAL,IND,IND
2017,16,5,8:30 PM,1,0,GB,0,16,MIN,MIN,-8.5,41,Lambeau Field,"Green Bay, Wisconsin",0,10,6,0,-16,16,0,0,0,0,21,High Spread,MIN,GB,MIN
2017,16,6,4:30 PM,0,0,ARI,23,0,NYG,ARI,-3,39,State Farm Stadium,"Glendale, Arizona",0,72,0,1,23,23,1,0,1,1,1,Low Spread,ARI,NYG,ARI
2017,16,6,1:00 PM,0,0,CAR,22,19,TB,CAR,-10,46.5,Bank of America Stadium,"Charlotte, North Carolina",0,55,6,0,3,41,1,0,1,0,5,High Spread,CAR,TB,TB
2017,16,6,1:00 PM,0,0,CHI,20,3,CLE,CHI,-5.5,37,Soldier Field,"Chicago, Illinois",0,24,8,0,17,23,1,0,1,1,6,Medium Spread,CHI,CLE,CHI
2017,16,6,1:00 PM,0,0,CIN,26,17,DET,DET,-3.5,43.5,Paycor Stadium,"Cincinatti, Ohio",0,35,2,0,9,43,0,0,1,1,11,Medium Spread,CIN,DET,CIN
2017,16,6,4:30 PM,0,0,DAL,12,21,SEA,DAL,-4.5,47,AT&T Stadium,"Arlington, Texas",0,72,0,1,-9,33,1,0,0,0,9,Medium Spread,SEA,DAL,SEA
2017,16,6,1:00 PM,0,0,KC,29,13,MIA,KC,-11,43.5,Arrowhead Stadium,"Kansas City, Missouri",0,23,15,0,16,42,1,0,1,1,16,High Spread,KC,MIA,KC
2017,16,6,1:00 PM,0,0,NE,37,16,BUF,NE,-11,47.5,Gillette Stadium,"Foxboro, Massachusetts",0,35,7,0,21,53,1,1,1,1,22,High Spread,NE,BUF,NE
2017,16,6,1:00 PM,0,0,NO,23,13,ATL,NO,-5.5,52,Caesars Superdome,"New Orleans, Louisiana",0,72,0,1,10,36,1,0,1,1,23,Medium Spread,NO,ATL,NO
2017,16,6,1:00 PM,0,0,NYJ,7,14,LAC,LAC,-7.5,42.5,MetLife Stadium,"East Rutherford, New Jersey",0,40,6,0,-7,21,0,0,0,1,17,Medium Spread,LAC,NYJ,NYJ
2017,16,6,4:00 PM,0,0,SF,44,33,JAX,JAX,-4,43,Levi's Stadium,"Santa Clara, California",0,52,0,0,11,77,0,1,1,1,15,Medium Spread,SF,JAX,SF
2017,16,6,1:00 PM,0,0,TEN,23,27,LAR,LAR,-5.5,46,Nissan Stadium,"Nashville, Tennessee",0,39,11,0,-4,50,0,1,0,1,18,Medium Spread,LAR,TEN,TEN
