,Unnamed: 0,game_date,season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_capacity,stadium_latitude,stadium_longitude,stadium_elevation,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,total_result,result,cover_result,team_favored_id_int,spread_category,winner,loser,cover_id
46,46,9/25/16,2016,3,6,1:00 PM,0,0,TEN,10,17,LVR,LVR,-1.5,47.0,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430.0,0,89,3,0,-7,27,0,0,0,0,19,Low Spread,LVR,TEN,LVR
47,47,9/26/16,2016,3,0,8:30 PM,1,0,NO,32,45,ATL,NO,-3.0,54.5,Caesars Superdome,"New Orleans, Louisiana","76,468",29.9511,-90.08197,3.0,0,72,0,1,-13,77,1,1,0,0,23,Low Spread,ATL,NO,ATL
48,48,9/29/16,2016,4,3,8:30 PM,1,0,CIN,22,7,MIA,CIN,-7.5,46.5,Paycor Stadium,"Cincinatti, Ohio","65,515",39.1,-84.51667,482.0,0,59,0,0,15,29,1,0,1,1,7,Medium Spread,CIN,MIA,CIN
49,49,10/2/16,2016,4,6,4:30 PM,0,0,ARI,13,17,LAR,ARI,-10.0,43.5,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068.0,0,72,0,1,-4,30,1,0,0,0,1,High Spread,LAR,ARI,LAR
50,50,10/2/16,2016,4,6,1:00 PM,0,0,ATL,48,33,CAR,CAR,-3.0,48.5,Mercedes-Benz Stadium,"Atlanta, Georgia",71000,33.755556,-84.4,1050.0,0,72,0,1,15,81,0,1,1,1,5,Low Spread,ATL,CAR,ATL
51,51,10/2/16,2016,4,6,1:00 PM,0,0,BAL,27,28,LVR,BAL,-3.5,45.0,M&T Bank Stadium,"Baltimore, Maryland","71,008",39.278056,-76.622778,50.0,0,67,0,0,-1,55,1,1,0,0,3,Medium Spread,LVR,BAL,LVR
52,52,10/2/16,2016,4,6,1:00 PM,0,0,CHI,17,14,DET,DET,-3.0,48.0,Soldier Field,"Chicago, Illinois","61,500",41.8623,-87.6167,594.0,0,64,2,0,3,31,0,0,1,1,11,Low Spread,CHI,DET,CHI
53,53,10/2/16,2016,4,6,1:00 PM,0,0,HOU,27,20,TEN,HOU,-3.5,40.0,NRG Stadium,"Houston, Texas","71,500",29.684722,-95.410833,43.0,0,72,0,1,7,47,1,1,1,1,13,Medium Spread,HOU,TEN,HOU
54,54,10/2/16,2016,4,6,9:30 AM,0,0,JAX,30,27,IND,IND,-1.0,48.5,Wembley Stadium,"London, England","90,000",51.555833,-0.279722,171.0,1,58,6,0,3,57,0,1,1,1,14,Low Spread,JAX,IND,JAX
55,55,10/2/16,2016,4,6,1:00 PM,0,0,NE,0,16,BUF,NE,-3.5,41.0,Gillette Stadium,"Foxboro, Massachusetts","68,756",42.091,-71.264,289.0,0,56,2,0,-16,16,1,0,0,0,22,Medium Spread,BUF,NE,BUF
56,56,10/2/16,2016,4,6,1:00 PM,0,0,NYJ,17,27,SEA,SEA,-1.0,40.0,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3.0,0,61,0,0,-10,44,0,1,0,0,29,Low Spread,SEA,NYJ,SEA
57,57,10/2/16,2016,4,6,8:30 PM,1,0,PIT,43,14,KC,PIT,-3.5,48.5,Acrisure Stadium,"Pittsburgh, Pennsylvania","65,500",40.4846,-80.2144,730.0,0,60,0,0,29,57,1,1,1,1,28,Medium Spread,PIT,KC,PIT
58,58,10/2/16,2016,4,6,4:30 PM,0,0,LAC,34,35,NO,LAC,-3.5,54.0,Qualcomm Stadium,"San Diego, California","71,500",32.783056,-117.119444,13.0,0,73,6,0,-1,69,1,1,0,0,17,Medium Spread,NO,LAC,NO
59,59,10/2/16,2016,4,6,4:30 PM,0,0,SF,17,24,DAL,DAL,-1.0,44.0,Levi's Stadium,"Santa Clara, California","68,500",37.403,-121.97,17.0,0,68,8,0,-7,41,0,0,0,0,9,Low Spread,DAL,SF,DAL
60,60,10/2/16,2016,4,6,4:00 PM,0,0,TB,7,27,DEN,DEN,-3.0,42.5,Raymond James Stadium,"Tampa, Florida","65,890",27.975833,-82.503333,35.0,0,89,4,0,-20,34,0,0,0,0,10,Low Spread,DEN,TB,DEN
61,61,10/2/16,2016,4,6,1:00 PM,0,0,WAS,31,20,CLE,WAS,-7.5,47.5,FedEx Field,"Landover, Maryland","79,000",38.907778,-76.864444,265.0,0,70,1,0,11,51,1,1,1,1,33,Medium Spread,WAS,CLE,WAS
62,62,10/3/16,2016,4,0,8:30 PM,1,0,MIN,24,10,NYG,MIN,-3.5,42.5,U.S. Bank Stadium,"Minneapolis, Minnesota","66,200",44.973889,-93.258056,840.0,0,72,0,1,14,34,1,0,1,1,21,Medium Spread,MIN,NYG,MIN
63,63,10/6/16,2016,5,3,8:30 PM,1,0,SF,21,33,ARI,ARI,-3.5,42.5,Levi's Stadium,"Santa Clara, California","68,500",37.403,-121.97,17.0,0,72,7,0,-12,54,0,1,0,0,1,Medium Spread,ARI,SF,ARI
64,64,10/9/16,2016,5,6,1:00 PM,0,0,BAL,10,16,WAS,BAL,-4.0,44.5,M&T Bank Stadium,"Baltimore, Maryland","71,008",39.278056,-76.622778,50.0,0,61,12,0,-6,26,1,0,0,0,3,Medium Spread,WAS,BAL,WAS
65,65,10/9/16,2016,5,6,1:00 PM,0,0,CLE,13,33,NE,NE,-10.0,47.5,FirstEnergy Stadium,"Cleveland, Ohio","68,000",41.506111,-81.699444,584.0,0,57,9,0,-20,46,0,0,0,0,22,High Spread,NE,CLE,NE
66,66,10/9/16,2016,5,6,4:30 PM,0,0,DAL,28,14,CIN,CIN,-2.5,46.0,AT&T Stadium,"Arlington, Texas","80,000",32.747778,-97.092778,607.0,0,72,0,1,14,42,0,0,1,1,7,Low Spread,DAL,CIN,DAL
