,game_date,season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_capacity,stadium_latitude,stadium_longitude,stadium_elevation,stadium_neutral,weather_temperature,wind_mph,indoor,precipitation,point_differential,total_points_scored,home_favorite,away_favorite,total_result,result,cover_result,team_favored_id_int,spread_category
26,9/18/16,2016,2,6,1:00 PM,0,0,NYG,16,13,NO,NYG,-4,54.5,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3,0,79,5,0,,3,29,1,0,0,1,0,24,Medium Spread
27,9/18/16,2016,2,6,4:30 PM,0,0,LVR,28,35,ATL,LVR,-4,48,Oakland Coliseum,"Oakland, California","53,250",37.751667,-122.200556,21,0,83,3,0,,-7,63,1,0,1,0,0,19,Medium Spread
28,9/18/16,2016,2,6,1:00 PM,0,0,PIT,24,16,CIN,PIT,-3,48,Acrisure Stadium,"Pittsburgh, Pennsylvania","65,500",40.4846,-80.2144,730,0,71,3,0,,8,40,1,0,0,1,1,28,Low Spread
29,9/18/16,2016,2,6,4:30 PM,0,0,LAC,38,14,JAX,LAC,-3,47.5,Qualcomm Stadium,"San Diego, California","71,500",32.783056,-117.119444,13,0,78,5,0,,24,52,1,0,1,1,1,17,Low Spread
30,9/18/16,2016,2,6,1:00 PM,0,0,WAS,23,27,DAL,WAS,-3,47,FedEx Field,"Landover, Maryland","79,000",38.907778,-76.864444,265,0,84,5,0,,-4,50,1,0,1,0,0,33,Low Spread
31,9/19/16,2016,2,0,8:30 PM,1,0,CHI,14,29,PHI,CHI,-3,43,Soldier Field,"Chicago, Illinois","61,500",41.8623,-87.6167,594,0,80,2,0,,-15,43,1,0,2,0,0,6,Low Spread
32,9/22/16,2016,3,3,8:30 PM,1,0,NE,27,0,HOU,NE,-1,38.5,Gillette Stadium,"Foxboro, Massachusetts","68,756",42.091,-71.264,289,0,68,3,0,,27,27,1,0,0,1,1,22,Low Spread
33,9/25/16,2016,3,6,1:00 PM,0,0,BUF,33,18,ARI,ARI,-5,48,New Era Field,"Orchard Park, New York","73,967",42.889,-78.8901,178,0,62,1,0,,15,51,0,1,1,1,1,1,Medium Spread
34,9/25/16,2016,3,6,1:00 PM,0,0,CAR,10,22,MIN,CAR,-6.5,42.5,Bank of America Stadium,"Charlotte, North Carolina","73,778",35.225833,-80.852778,751,0,84,2,0,,-12,32,1,0,0,0,0,5,Medium Spread
35,9/25/16,2016,3,6,1:00 PM,0,0,CIN,17,29,DEN,CIN,-3.5,41.5,Paycor Stadium,"Cincinatti, Ohio","65,515",39.1,-84.51667,482,0,82,0,0,,-12,46,1,0,1,0,0,7,Medium Spread
36,9/25/16,2016,3,6,8:30 PM,1,0,DAL,31,17,CHI,DAL,-6.5,45,AT&T Stadium,"Arlington, Texas","80,000",32.747778,-97.092778,607,0,72,0,1,,14,48,1,0,1,1,1,9,Medium Spread
37,9/25/16,2016,3,6,1:00 PM,0,0,GB,34,27,DET,GB,-6.5,47.5,Lambeau Field,"Green Bay, Wisconsin","80,735",44.501389,-88.062222,640,0,72,10,0,,7,61,1,0,1,1,1,12,Medium Spread
38,9/25/16,2016,3,6,4:30 PM,0,0,IND,26,22,LAC,IND,-1.5,51.5,Lucas Oil Stadium,"Indianapolis, Indiana","63,000",39.760056,-86.162806,717,0,72,0,1,,4,48,1,0,0,1,1,14,Low Spread
39,9/25/16,2016,3,6,1:00 PM,0,0,JAX,17,19,BAL,BAL,-2,45,EverBank Field,"Jacksonville, Florida","67,264",30.23333,-81.66667,10,0,87,4,0,,-2,36,0,1,0,0,2,3,Low Spread
40,9/25/16,2016,3,6,4:30 PM,0,0,KC,24,3,NYJ,KC,-3,44.5,Arrowhead Stadium,"Kansas City, Missouri","76,416",39.048889,-94.483889,1024,0,65,6,0,,21,27,1,0,0,1,1,16,Low Spread
41,9/25/16,2016,3,6,1:00 PM,0,0,MIA,30,24,CLE,MIA,-10,42.5,Hard Rock Stadium,"Miami Gardens, Florida","65,326",25.958056,-80.238889,7,0,85,7,0,,6,54,1,0,1,1,0,20,High Spread
42,9/25/16,2016,3,6,1:00 PM,0,0,NYG,27,29,WAS,NYG,-3.5,47,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3,0,67,4,0,,-2,56,1,0,1,0,0,24,Medium Spread
43,9/25/16,2016,3,6,4:30 PM,0,0,PHI,34,3,PIT,PIT,-4,46.5,Lincoln Financial Field,"Philadelphia, Pennsylvania","69,176",39.900833,-75.1675,30,0,71,1,0,,31,37,0,1,0,1,1,28,Medium Spread
44,9/25/16,2016,3,6,4:00 PM,0,0,SEA,37,18,SF,SEA,-10.5,41.5,Lumen Field,"Seattle, Washington","67,000",47.6523,-122.4095,20,0,69,2,0,,19,55,1,0,1,1,1,29,High Spread
45,9/25/16,2016,3,6,4:00 PM,0,0,TB,32,37,LAR,TB,-3.5,40.5,Raymond James Stadium,"Tampa, Florida","65,890",27.975833,-82.503333,35,0,89,3,0,,-5,69,1,0,1,0,0,31,Medium Spread
46,9/25/16,2016,3,6,1:00 PM,0,0,TEN,10,17,LVR,LVR,-1.5,47,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430,0,89,3,0,,-7,27,0,1,0,0,0,19,Low Spread
47,9/26/16,2016,3,0,8:30 PM,1,0,NO,32,45,ATL,NO,-3,54.5,Caesars Superdome,"New Orleans, Louisiana","76,468",29.9511,-90.08197,3,0,72,0,1,,-13,77,1,0,1,0,0,23,Low Spread
48,9/29/16,2016,4,3,8:30 PM,1,0,CIN,22,7,MIA,CIN,-7.5,46.5,Paycor Stadium,"Cincinatti, Ohio","65,515",39.1,-84.51667,482,0,59,0,0,,15,29,1,0,0,1,1,7,Medium Spread
49,10/2/16,2016,4,6,4:30 PM,0,0,ARI,13,17,LAR,ARI,-10,43.5,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068,0,72,0,1,,-4,30,1,0,0,0,0,1,High Spread
50,10/2/16,2016,4,6,1:00 PM,0,0,ATL,48,33,CAR,CAR,-3,48.5,Mercedes-Benz Stadium,"Atlanta, Georgia",71000,33.755556,-84.4,1050,0,72,0,1,,15,81,0,1,1,1,1,5,Low Spread
51,10/2/16,2016,4,6,1:00 PM,0,0,BAL,27,28,LVR,BAL,-3.5,45,M&T Bank Stadium,"Baltimore, Maryland","71,008",39.278056,-76.622778,50,0,67,0,0,,-1,55,1,0,1,0,0,3,Medium Spread
52,10/2/16,2016,4,6,1:00 PM,0,0,CHI,17,14,DET,DET,-3,48,Soldier Field,"Chicago, Illinois","61,500",41.8623,-87.6167,594,0,64,2,0,,3,31,0,1,0,1,1,11,Low Spread
53,10/2/16,2016,4,6,1:00 PM,0,0,HOU,27,20,TEN,HOU,-3.5,40,NRG Stadium,"Houston, Texas","71,500",29.684722,-95.410833,43,0,72,0,1,,7,47,1,0,1,1,1,13,Medium Spread
54,10/2/16,2016,4,6,9:30 AM,0,0,JAX,30,27,IND,IND,-1,48.5,Wembley Stadium,"London, England","90,000",51.555833,-0.279722,171,1,58,6,0,,3,57,0,1,1,1,1,14,Low Spread
55,10/2/16,2016,4,6,1:00 PM,0,0,NE,0,16,BUF,NE,-3.5,41,Gillette Stadium,"Foxboro, Massachusetts","68,756",42.091,-71.264,289,0,56,2,0,,-16,16,1,0,0,0,0,22,Medium Spread
56,10/2/16,2016,4,6,1:00 PM,0,0,NYJ,17,27,SEA,SEA,-1,40,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3,0,61,0,0,,-10,44,0,1,1,0,0,29,Low Spread
57,10/2/16,2016,4,6,8:30 PM,1,0,PIT,43,14,KC,PIT,-3.5,48.5,Acrisure Stadium,"Pittsburgh, Pennsylvania","65,500",40.4846,-80.2144,730,0,60,0,0,rain,29,57,1,0,1,1,1,28,Medium Spread
58,10/2/16,2016,4,6,4:30 PM,0,0,LAC,34,35,NO,LAC,-3.5,54,Qualcomm Stadium,"San Diego, California","71,500",32.783056,-117.119444,13,0,73,6,0,,-1,69,1,0,1,0,0,17,Medium Spread
59,10/2/16,2016,4,6,4:30 PM,0,0,SF,17,24,DAL,DAL,-1,44,Levi's Stadium,"Santa Clara, California","68,500",37.403,-121.97,17,0,68,8,0,,-7,41,0,1,0,0,0,9,Low Spread
60,10/2/16,2016,4,6,4:00 PM,0,0,TB,7,27,DEN,DEN,-3,42.5,Raymond James Stadium,"Tampa, Florida","65,890",27.975833,-82.503333,35,0,89,4,0,rain,-20,34,0,1,0,0,0,10,Low Spread
61,10/2/16,2016,4,6,1:00 PM,0,0,WAS,31,20,CLE,WAS,-7.5,47.5,FedEx Field,"Landover, Maryland","79,000",38.907778,-76.864444,265,0,70,1,0,,11,51,1,0,1,1,1,33,Medium Spread
62,10/3/16,2016,4,0,8:30 PM,1,0,MIN,24,10,NYG,MIN,-3.5,42.5,U.S. Bank Stadium,"Minneapolis, Minnesota","66,200",44.973889,-93.258056,840,0,72,0,1,,14,34,1,0,0,1,1,21,Medium Spread
63,10/6/16,2016,5,3,8:30 PM,1,0,SF,21,33,ARI,ARI,-3.5,42.5,Levi's Stadium,"Santa Clara, California","68,500",37.403,-121.97,17,0,72,7,0,,-12,54,0,1,1,0,0,1,Medium Spread
64,10/9/16,2016,5,6,1:00 PM,0,0,BAL,10,16,WAS,BAL,-4,44.5,M&T Bank Stadium,"Baltimore, Maryland","71,008",39.278056,-76.622778,50,0,61,12,0,,-6,26,1,0,0,0,0,3,Medium Spread
65,10/9/16,2016,5,6,1:00 PM,0,0,CLE,13,33,NE,NE,-10,47.5,FirstEnergy Stadium,"Cleveland, Ohio","68,000",41.506111,-81.699444,584,0,57,9,0,,-20,46,0,1,0,0,0,22,High Spread
66,10/9/16,2016,5,6,4:30 PM,0,0,DAL,28,14,CIN,CIN,-2.5,46,AT&T Stadium,"Arlington, Texas","80,000",32.747778,-97.092778,607,0,72,0,1,,14,42,0,1,0,1,1,7,Low Spread
67,10/9/16,2016,5,6,4:00 PM,0,0,DEN,16,23,ATL,DEN,-3.5,44.5,Empower Field at Mile High,"Denver, Colorado","76,125",39.743889,-105.02,5280,0,73,1,0,,-7,39,1,0,0,0,0,10,Medium Spread
68,10/9/16,2016,5,6,1:00 PM,0,0,DET,24,23,PHI,PHI,-3.5,46,Ford Field,"Detroit, Michigan","65,000",42.34,-83.045556,581,0,72,0,1,,1,47,0,1,1,1,1,26,Medium Spread
69,10/9/16,2016,5,6,8:30 PM,1,0,GB,23,16,NYG,GB,-7,49,Lambeau Field,"Green Bay, Wisconsin","80,735",44.501389,-88.062222,640,0,48,2,0,,7,39,1,0,0,1,2,12,Medium Spread
70,10/9/16,2016,5,6,1:00 PM,0,0,IND,29,23,CHI,IND,-4,47.5,Lucas Oil Stadium,"Indianapolis, Indiana","63,000",39.760056,-86.162806,717,0,72,0,1,,6,52,1,0,1,1,1,14,Medium Spread
71,10/9/16,2016,5,6,4:30 PM,0,0,LAR,19,30,BUF,BUF,-2.5,41.5,Los Angeles Memorial Coliseum,"Los Angeles, California","93,605",34.014167,-118.287778,185,0,87,5,0,,-11,49,0,1,1,0,0,4,Low Spread
72,10/9/16,2016,5,6,1:00 PM,0,0,MIA,17,30,TEN,MIA,-2.5,44.5,Hard Rock Stadium,"Miami Gardens, Florida","65,326",25.958056,-80.238889,7,0,87,12,0,,-13,47,1,0,1,0,0,20,Low Spread
73,10/9/16,2016,5,6,1:00 PM,0,0,MIN,31,13,HOU,MIN,-6,39,U.S. Bank Stadium,"Minneapolis, Minnesota","66,200",44.973889,-93.258056,840,0,72,0,1,,18,44,1,0,1,1,1,21,Medium Spread
74,10/9/16,2016,5,6,4:30 PM,0,0,LVR,34,31,LAC,LVR,-3.5,50.5,Oakland Coliseum,"Oakland, California","53,250",37.751667,-122.200556,21,0,78,4,0,,3,65,1,0,1,1,0,19,Medium Spread
75,10/9/16,2016,5,6,1:00 PM,0,0,PIT,31,13,NYJ,PIT,-10,50,Acrisure Stadium,"Pittsburgh, Pennsylvania","65,500",40.4846,-80.2144,730,0,57,6,0,,18,44,1,0,0,1,1,28,High Spread
76,10/10/16,2016,5,0,8:00 PM,1,0,CAR,14,17,TB,CAR,-6,46.5,Bank of America Stadium,"Charlotte, North Carolina","73,778",35.225833,-80.852778,751,0,57,2,0,,-3,31,1,0,0,0,0,5,Medium Spread
77,10/13/16,2016,6,3,8:30 PM,1,0,LAC,21,13,DEN,DEN,-3,44,Qualcomm Stadium,"San Diego, California","71,500",32.783056,-117.119444,13,0,69,6,0,,8,34,0,1,0,1,1,10,Low Spread
78,10/16/16,2016,6,6,1:00 PM,0,0,BUF,45,16,SF,BUF,-7.5,44,New Era Field,"Orchard Park, New York","73,967",42.889,-78.8901,178,0,72,9,0,,29,61,1,0,1,1,1,4,Medium Spread
79,10/16/16,2016,6,6,1:00 PM,0,0,CHI,16,17,JAX,CHI,-2.5,46,Soldier Field,"Chicago, Illinois","61,500",41.8623,-87.6167,594,0,67,3,0,,-1,33,1,0,0,0,0,6,Low Spread
80,10/16/16,2016,6,6,1:00 PM,0,0,DET,31,28,LAR,DET,-2.5,44,Ford Field,"Detroit, Michigan","65,000",42.34,-83.045556,581,0,72,0,1,,3,59,1,0,1,1,1,11,Low Spread
81,10/16/16,2016,6,6,4:30 PM,0,0,GB,16,30,DAL,GB,-5,47,Lambeau Field,"Green Bay, Wisconsin","80,735",44.501389,-88.062222,640,0,67,4,0,,-14,46,1,0,0,0,0,12,Medium Spread
