,season,week,primetime,playoff_game,score_home,score_away,point_spread,total_line,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,result,cover_result,total_result,winner_id,loser_id,cover_map,clusters,cluster
105,2016,7,0,0,26,34,-4.0,48.0,0,71,5,0,-8,60,1,0,0,1,14,31,14,2,blue
106,2016,7,1,0,27,9,-8.5,40.0,0,66,2,0,18,36,1,1,1,0,10,13,10,2,blue
107,2016,8,1,0,36,22,-3.0,43.5,0,66,4,0,14,58,1,1,1,1,31,15,31,2,blue
108,2016,8,0,0,33,32,-3.0,51.0,0,72,0,1,1,65,1,1,0,1,2,12,12,2,blue
109,2016,8,0,0,25,41,-5.5,48.0,0,50,2,0,-16,66,0,0,0,1,22,4,22,2,blue
110,2016,8,0,0,30,20,-2.5,45.5,0,80,4,0,10,50,1,1,1,1,5,1,5,2,blue
111,2016,8,0,0,27,27,-3.0,49.0,1,52,3,0,0,54,1,0,0,1,0,0,32,2,blue
112,2016,8,0,0,28,31,-2.5,45.5,0,54,9,0,-3,59,0,0,0,1,25,8,25,2,blue
113,2016,8,1,0,29,23,-5.0,44.0,0,72,0,1,6,52,1,1,1,1,9,26,9,2,blue
114,2016,8,0,0,27,19,-3.5,43.0,0,75,3,0,8,46,1,1,1,1,10,17,10,2,blue
115,2016,8,0,0,20,13,-1.0,46.5,0,72,0,1,7,33,1,1,1,0,13,11,13,1,purple
116,2016,8,0,0,14,30,-3.0,50.5,0,72,0,1,-16,44,0,0,0,0,16,14,16,1,purple
117,2016,8,0,0,25,20,-1.0,50.0,0,72,0,1,5,45,0,1,1,0,23,28,23,2,blue
118,2016,8,0,0,24,30,-1.0,48.0,0,84,10,0,-6,54,1,0,0,1,19,30,19,1,purple
119,2016,8,1,0,20,10,-4.5,39.5,0,57,3,0,10,30,0,1,1,0,6,21,6,0,pink
120,2016,9,1,0,28,43,-4.5,49.0,0,75,2,0,-15,71,0,0,0,1,2,30,2,2,blue
121,2016,9,0,0,21,14,-3.5,46.0,0,63,10,0,7,35,0,1,1,0,3,27,3,1,purple
122,2016,9,0,0,10,35,-7.0,49.0,0,56,2,0,-25,45,0,0,0,0,9,8,9,1,purple
123,2016,9,0,0,26,31,-7.5,52.0,0,67,5,0,-5,57,1,0,0,1,14,12,14,2,blue
124,2016,9,0,0,19,14,-7.0,42.5,0,60,6,0,5,33,1,1,0,0,16,15,15,1,purple
125,2016,9,0,0,10,13,-3.0,44.5,0,72,3,0,-3,23,0,0,2,0,5,18,0,1,purple
126,2016,9,0,0,27,23,-3.5,45.0,0,79,11,0,4,50,1,1,1,1,20,25,20,2,blue
127,2016,9,0,0,16,22,-4.5,42.5,0,72,0,1,-6,38,1,0,0,0,11,21,11,1,purple
128,2016,9,0,0,28,23,-3.0,42.5,0,57,8,0,5,51,1,1,1,1,24,26,24,2,blue
129,2016,9,1,0,30,20,-1.0,44.5,0,67,3,0,10,50,1,1,1,1,19,10,19,2,blue
130,2016,9,0,0,43,35,-3.5,47.5,0,74,3,0,8,78,1,1,1,1,17,31,17,2,blue
131,2016,9,0,0,23,41,-5.0,53.0,0,68,1,0,-18,64,0,0,0,1,23,29,23,1,purple
132,2016,9,1,0,31,25,-5.5,43.5,0,60,0,0,6,56,1,1,1,1,28,4,28,2,blue
133,2016,10,1,0,28,7,-7.5,44.0,0,52,1,0,21,35,1,1,1,0,3,8,3,0,pink
134,2016,10,0,0,23,20,-14.0,47.0,0,72,0,1,3,43,1,1,0,0,1,29,29,1,purple
135,2016,10,0,0,17,20,-3.0,44.0,0,48,4,0,-3,37,1,0,0,0,16,5,16,0,pink
136,2016,10,0,0,21,24,-3.0,42.0,0,71,6,0,-3,45,1,0,0,1,13,15,13,1,purple
137,2016,10,1,0,24,31,-7.5,49.5,0,45,2,0,-7,55,1,0,0,1,28,22,28,0,pink
138,2016,10,0,0,23,25,-3.0,50.0,0,72,0,1,-2,48,1,0,0,0,10,23,10,1,purple
139,2016,10,0,0,6,9,-1.0,38.5,0,55,4,0,-3,15,0,0,0,0,18,25,18,1,purple
140,2016,10,0,0,24,15,-1.5,49.0,0,54,6,0,9,39,1,1,1,0,26,2,26,0,pink
141,2016,10,0,0,30,35,-3.0,51.0,0,54,2,0,-5,65,1,0,0,1,9,27,9,2,blue
142,2016,10,0,0,24,31,-4.5,49.0,0,84,3,0,-7,55,1,0,0,1,20,17,20,1,purple
143,2016,10,0,0,36,10,-2.5,45.0,0,77,2,0,26,46,0,1,1,1,30,6,30,2,blue
144,2016,10,0,0,47,25,-3.0,49.0,0,55,0,0,22,72,0,1,1,1,31,12,31,2,blue
145,2016,10,0,0,26,20,-2.5,41.5,0,55,4,0,6,46,1,1,1,1,32,21,32,0,pink
146,2016,10,1,0,21,20,0.0,49.5,0,54,1,0,1,41,0,1,1,0,24,7,0,0,pink
147,2016,11,1,0,23,20,-3.5,53.5,0,57,2,0,3,43,1,1,0,0,5,23,23,1,purple
148,2016,11,0,0,12,16,-2.5,48.0,0,37,7,0,-4,28,1,0,0,0,4,7,4,0,pink
149,2016,11,0,0,9,24,-8.5,45.5,0,35,16,0,-15,33,0,0,0,0,27,8,27,0,pink
150,2016,11,0,0,27,17,-7.0,44.5,0,72,0,1,10,44,1,1,1,0,9,3,9,2,blue
151,2016,11,0,0,26,19,-5.5,47.0,0,72,0,1,7,45,1,1,1,0,11,15,11,2,blue
152,2016,11,0,0,24,17,-3.0,54.0,0,72,0,1,7,41,1,1,1,0,14,31,14,1,purple
153,2016,11,0,0,17,19,-7.0,45.0,0,43,8,0,-2,36,1,0,0,0,30,16,30,0,pink
154,2016,11,0,0,10,14,-1.0,38.5,0,63,4,0,-4,24,0,0,0,0,20,18,20,1,purple
155,2016,11,0,0,30,24,-2.0,40.0,0,72,0,1,6,54,1,1,1,1,21,1,21,2,blue
156,2016,11,0,0,22,16,-7.0,41.5,0,40,12,0,6,38,1,1,0,0,24,6,6,0,pink
157,2016,11,0,0,17,30,-11.5,51.5,0,61,1,0,-13,47,0,0,0,0,22,29,22,1,purple
158,2016,11,0,0,26,15,-6.5,43.0,0,51,4,0,11,41,1,1,1,0,28,26,28,0,pink
159,2016,11,1,0,42,24,-3.0,48.5,0,38,15,0,18,66,1,1,1,1,32,12,32,0,pink
160,2016,11,1,0,27,20,-6.5,46.0,1,62,0,0,7,47,1,1,1,1,19,13,19,2,blue
161,2016,12,0,0,31,26,-6.0,53.5,0,72,0,1,5,57,1,1,0,1,9,32,32,2,blue
162,2016,12,0,0,16,13,-1.5,42.0,0,72,0,1,3,29,1,1,1,0,11,21,11,1,purple
163,2016,12,1,0,7,28,-8.5,49.5,0,72,0,1,-21,35,0,0,0,0,27,14,27,1,purple
164,2016,12,0,0,38,19,-4.0,49.0,0,72,0,1,19,57,1,1,1,1,2,1,2,2,blue
165,2016,12,0,0,19,14,-3.5,42.0,0,49,8,0,5,33,1,1,1,0,3,7,3,0,pink
166,2016,12,0,0,28,21,-8.5,44.0,0,38,6,0,7,49,1,1,0,1,4,15,15,0,pink
